seed,ok,n_obs,kurtosis,ret_ac,abs_ac,sign_ac,spread,lambda_r2,fat_tails,vol_clust,flow_ac,pos_spread
1000,True,673,4.267610731771281,-0.3866137580355342,0.2742831065389602,0.24952390162773566,8.406685236768801,0.0660545730097476,True,True,True,True
1001,True,925,5.222267600183585,-0.3255066850765058,0.22805159902672084,0.27853991875755235,7.419831223628692,0.0005019886247749072,True,True,True,True
1002,True,380,5.730195944109067,-0.3169055524969038,0.27315733230672234,0.4605676539338453,9.247987117552334,0.0009928822718602293,True,True,True,True
1003,True,829,7.441791467658941,-0.3282068845581941,0.2458610960962913,0.28726388853355556,7.97106563161609,0.002056132375729436,True,True,True,True
1004,True,616,327.4737149235359,-0.1246441075328555,0.12301487486664783,0.44071081842305454,9.242711370262391,1.0781458293918078e-06,True,True,True,True
1005,True,626,11.378976753398534,-0.2545384615599857,0.08975364952338163,0.33431648667262726,7.073744437380801,0.0008021406089357974,True,True,True,True
1006,True,790,448.7907353602468,-0.11703356578175851,0.10785473569981786,0.3028268954654404,8.459045374189747,0.0018408225928066013,True,True,True,True
1007,True,855,3.5465089874867015,-0.41425511646259805,0.30707986840669776,0.20428645583338784,9.442441054091539,0.0005483073027168217,True,True,True,True
1008,True,644,3.7973631091272635,-0.4145486087809131,0.3027394245138215,0.26029357067980036,9.434369602763384,0.0008225287583955021,True,True,True,True
1009,True,831,9.793436289471297,-0.22708711936392145,0.17730417912546795,0.3281947379720612,6.996009122006842,0.0005270991711614492,True,True,True,True
1010,True,564,2.843776870732082,-0.40004029045835454,0.25666300304904366,0.28860169279225567,9.259763851044506,0.0006257645322542693,True,True,True,True
1011,True,571,8.960005551074607,-0.2649192125453136,0.2611507736265258,0.22381799815328082,9.421615201900238,0.003314967007137515,True,True,True,True
1012,True,863,3.9503236083187776,-0.31772476678532174,0.19371091557046027,0.3311957897113458,6.688583078491336,0.0023871940167160544,True,True,True,True
1013,True,596,4.356332686597418,-0.32557529835884935,0.24067213972259863,0.3343056428471144,8.7728,0.0032487902669325885,True,True,True,True
1014,True,531,3.7712284541879715,-0.3523829727079329,0.2507445725501361,0.33854076990844545,7.857998289136014,0.0006692452465985044,True,True,True,True
1015,True,876,9.113571251705823,-0.41367775827096864,0.42088035980646865,0.22976682359246464,8.668993600930774,0.00044827418523141205,True,True,True,True
1016,True,696,6.64332324696421,-0.28912466193009284,0.21941048623009496,0.38496037473936456,7.493188010899183,0.0006494104694066971,True,True,True,True
1017,True,596,5.546195972955228,-0.32772095880727475,0.20597429697314404,0.3426484475287874,7.853641933287951,0.0006343332154047365,True,True,True,True
1018,True,949,8.658767897291403,-0.33514204465324976,0.18584960111929222,0.3443746472710383,6.036639857015192,0.0005213320115806663,True,True,True,True
1019,True,488,12.9567599253595,-0.2886747784389797,0.18406829237185787,0.3218455185752917,8.349943374858437,0.001507068684258983,True,True,True,True
1020,True,625,3.285100401806023,-0.27507003170120664,0.14139360517819502,0.3375052592706737,8.751567398119123,0.0029617567897386454,True,True,True,True
1021,True,812,422.71040169817525,-0.11906211039829223,0.10139220929398969,0.26244716124622414,7.839979013641133,0.003185165781348198,True,True,True,True
1022,True,1165,5.392047983899772,-0.35691839866411784,0.18227973200416195,0.31542673455889003,6.1372200497689295,0.001777756349289339,True,True,True,True
1023,True,775,4.875776737994166,-0.2973352140873261,0.21165033781440193,0.26813032921944197,8.082721814543028,0.0006262496604795276,True,True,True,True
1024,True,480,280.0894508220202,-0.18758753605079648,0.15018350919606852,0.4290861340035152,9.997633136094674,0.007618831414593519,True,True,True,True
1025,True,883,4.566594524923297,-0.41342348405249396,0.36661595309839995,0.24959010350793692,8.65602641717116,0.00041700447764270177,True,True,True,True
1026,True,696,5.035273371470753,-0.27657578762520413,0.16034599942961095,0.3734351269504549,8.458273381294964,0.0006753670293339065,True,True,True,True
1027,True,1025,521.4968544879155,-0.011174757808804135,0.15234404467300572,0.3551645933443708,6.6502890173410405,0.00017736041228821886,True,True,True,True
1028,True,564,16.139514588002175,-0.33280528621943567,0.2666608958362255,0.21545821764780748,8.909774436090226,0.0006391514992946101,True,True,True,True
1029,True,560,nan,nan,nan,0.2495334636778856,10.43956043956044,0.0007220445736692005,False,False,True,True
1030,True,626,393.9093760965808,-0.0740295196145091,0.028562276909826108,0.42232102873248994,6.607887323943662,0.0006261204347570715,True,False,True,True
1031,True,502,272.9390871807931,-0.1481052727119581,0.10552669852022246,0.394861837441537,8.075098814229248,0.004576116748700065,True,True,True,True
1032,True,645,286.67138458356715,-0.4852825728067763,0.4755661748794414,0.3983801633058196,8.909660107334526,0.00028842771545944945,True,True,True,True
1033,True,717,4.496254766905029,-0.3314970353052342,0.21484243684544507,0.31842104849642505,9.263994471319972,0.0029297907744381124,True,True,True,True
1034,True,915,75.52046616634911,-0.2686805866283369,0.14539120592429822,0.26664726164112135,6.8473774720550304,3.374494549346352e-07,True,True,True,True
1035,True,610,15.172186498525434,-0.34256310883011115,0.23932266978955988,0.3188510531884297,8.16824644549763,0.0007703750667600318,True,True,True,True
1036,True,493,2.738750098146137,-0.37934432887832364,0.2117285904366963,0.4077078910582657,10.984251968503937,0.0008592067483850219,True,True,True,True
1037,True,742,6.556393590817432,-0.3625365324512693,0.30296788950019005,0.33372354556448747,6.403973509933775,0.0007101433651315325,True,True,True,True
1038,True,1058,4.952317913282304,-0.3309608972672758,0.2826585358075438,0.28005628985153275,7.479828326180257,0.0004869812356197434,True,True,True,True
1039,True,597,4.338245975518908,-0.38003903131507205,0.3334018606840734,0.3672011993193752,9.138364779874214,0.0006912934100276047,True,True,True,True
1040,True,1141,5.443682308100504,-0.32926037113241435,0.21262873715946032,0.2647747560294517,6.980127750177431,0.0020158120757557407,True,True,True,True
1041,True,719,4.014803571072271,-0.29978555139545815,0.18094306570201085,0.3826794560910659,8.393882646691635,0.00048497899080479634,True,True,True,True
1042,True,560,550.8005954427132,-0.001718311309246473,0.001617585578788913,0.32826502272594726,8.468260511129431,9.779723618486003e-06,True,False,True,True
1043,True,897,481.57329071332197,0.0438511896413556,0.151682316237506,0.32509418803671086,7.322966507177034,0.00048652770067636464,True,True,True,True
1044,True,751,52.729888687943436,-0.23768745438164104,0.11016929659005481,0.3219222103476412,7.578413834227788,0.0004968088137263793,True,True,True,True
1045,True,986,32.12728654802045,-0.39851329308152933,0.3409726553897698,0.27275418532124707,6.973346025702047,0.00017520629662481912,True,True,True,True
1046,True,662,4.698602270841842,-0.3834446623522326,0.28463256171769385,0.34941394231692946,8.806799336650084,0.0026410923067430314,True,True,True,True
1047,True,843,358.71086946128685,-0.10253125045980034,0.07803203011885493,0.36893399486245815,6.24211968935587,0.003277870193799104,True,True,True,True
1048,True,6160,nan,nan,nan,0.7272375284681607,125116.24310920684,9.288483546987525e-05,False,False,True,True
1049,True,483,221.15474385259586,-0.159984888808582,0.1202402550677559,0.23801676730308363,8.82937062937063,0.004188848651325849,True,True,True,True
